54.2438,27.0758,BY,Krasnaye
53.2645,24.4301,BY,Krasnasyel’ski
53.3353,31.3999,BY,Krasnapollye
52.8522,27.1698,BY,Chyrvonaya Slabada
52.5387,30.9173,BY,Kastsyukowka
53.3525,32.0514,BY,Kastsyukovichy
52.7583,25.1554,BY,Kosava
53.9865,27.7982,BY,Korolëv Stan
53.1301,30.8016,BY,Karma
52.3506,31.1121,BY,Karanyowka
53.5648,26.1406,BY,Karelichy
53.1516,27.0913,BY,Kapyl’
54.6593,29.2684,BY,Konstantinovo
53.944,27.7823,BY,Kalodzishchy
54.4611,30.0018,BY,Kokhanava
52.2138,24.3564,BY,Kobryn
53.6079,31.9586,BY,Klimavichy
53.4923,29.3356,BY,Klichaw
53.0635,26.6321,BY,Klyetsk
53.2693,29.4752,BY,Kirawsk
51.8911,29.9552,BY,Khoyniki
53.4086,32.578,BY,Khotsimsk
54.51746,28.95645,BY,Kholopenichi
53.9266,31.4779,BY,Khodasy
52.5643,31.1364,BY,Khal’ch
52.55757,23.80525,BY,Kamyanyuki
54.0898,30.2962,BY,Kamyennyya Lavy
52.40013,23.81,BY,Kamyanyets
52.1323,29.3257,BY,Kalinkavichy
53.9299,25.7727,BY,Iwye
53.8864,26.7432,BY,Ivyanyets
52.709,25.3401,BY,Ivatsevichy
52.1451,25.5365,BY,Ivanava
54.4167,27.2958,BY,Il’ya
53.6884,23.8258,BY,Hrodna
54.2862,30.9863,BY,Horki
52.4345,30.9754,BY,Gomel
55.1384,27.6905,BY,Hlybokaye
52.758,26.43,BY,Hantsavichy
52.5215,27.1385,BY,Hotsk
55.4624,29.9845,BY,Haradok
53.3247,26.0107,BY,Haradzishcha
53.3121,26.538,BY,Haradzyeya
54.2585,26.0144,BY,Hal’shany
52.903,28.6845,BY,Hlusk
53.0868,28.8567,BY,Hlusha
54.1159,25.5773,BY,Hyeranyony
53.7829,27.6407,BY,Hatava
53.6832,27.138,BY,Dzyarzhynsk
53.4631,25.4068,BY,Dzyatlava
53.6786,27.94,BY,Dukora
54.5716,30.691,BY,Dubrowna
54.1192,31.0939,BY,Drybin
55.7906,27.4505,BY,Druya
52.1874,25.1597,BY,Drahichyn
53.1571,30.4601,BY,Dowsk
51.75,23.6,BY,Damachava
54.8918,27.7667,BY,Dokshytsy
52.4089,31.3237,BY,Dobrush
55.5676,28.2076,BY,Dzisna
52.0566,27.2161,BY,Davyd-Haradok
